epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.8006,2.52528,4.23454,1.49773,0.00426,0.80882,0.00925,0.00288,2.05834,4.0433,1.36312,0.00042,0.00042,0.00042
2,124.571,2.10127,2.45436,1.36849,0.00357,0.67647,0.00701,0.0024,1.88272,3.8559,1.30637,0.000842972,0.000842972,0.000842972
3,185.484,1.99486,2.06238,1.30413,0.00419,0.79412,0.22093,0.10278,1.74001,3.44007,1.2711,0.00124852,0.00124852,0.00124852
4,246.444,1.87658,1.83363,1.29137,1,0.26258,0.6248,0.30414,1.71041,2.99353,1.22699,0.00163664,0.00163664,0.00163664
5,307.16,1.88151,1.843,1.25889,1,0.42901,0.78328,0.4029,1.6331,2.48061,1.23607,0.0018416,0.0018416,0.0018416
6,368.485,1.78469,1.58926,1.24693,0.78198,0.64706,0.84973,0.42285,1.76794,1.93242,1.29413,0.001802,0.001802,0.001802
7,429.92,1.69268,1.48474,1.23149,0.91407,0.66176,0.85858,0.46002,1.60225,1.66341,1.20675,0.0017624,0.0017624,0.0017624
8,492.186,1.68711,1.37264,1.21713,0.87238,0.88235,0.92284,0.52888,1.48659,1.28131,1.17178,0.0017228,0.0017228,0.0017228
9,555.207,1.55381,1.23502,1.14479,0.9024,0.83824,0.89829,0.50597,1.58283,1.33591,1.20429,0.0016832,0.0016832,0.0016832
10,617.722,1.69335,1.26242,1.18373,0.90742,0.88235,0.93931,0.53247,1.54276,1.18604,1.18064,0.0016436,0.0016436,0.0016436
11,680.414,1.62936,1.1985,1.16764,0.96802,0.89044,0.9639,0.53559,1.50652,1.08886,1.16068,0.001604,0.001604,0.001604
12,744.149,1.57208,1.10472,1.14741,0.93915,0.90794,0.9628,0.53802,1.49083,1.07159,1.1547,0.0015644,0.0015644,0.0015644
13,806.884,1.5899,1.13627,1.1541,0.89694,0.86765,0.93322,0.49222,1.59833,1.27999,1.21815,0.0015248,0.0015248,0.0015248
14,869.94,1.5554,1.06459,1.12053,0.91201,0.91464,0.95104,0.54259,1.44156,1.01424,1.1484,0.0014852,0.0014852,0.0014852
15,933.124,1.51432,1.00172,1.10287,0.86411,0.88235,0.93126,0.54214,1.43475,0.98202,1.15114,0.0014456,0.0014456,0.0014456
16,996.294,1.46099,0.95776,1.07345,0.92935,0.96727,0.96832,0.57291,1.52236,0.96624,1.15604,0.001406,0.001406,0.001406
17,1059.91,1.47438,0.96024,1.09585,0.96956,0.93695,0.94696,0.54679,1.50105,0.95178,1.16663,0.0013664,0.0013664,0.0013664
18,1123.2,1.45467,0.93052,1.08736,0.97048,0.96683,0.96491,0.54619,1.49433,0.89344,1.14893,0.0013268,0.0013268,0.0013268
19,1187.5,1.44238,0.92428,1.08664,0.96274,0.95588,0.96928,0.55863,1.49347,0.87337,1.13388,0.0012872,0.0012872,0.0012872
20,1251.41,1.39968,0.87722,1.07044,0.98427,0.91995,0.96571,0.54113,1.56811,0.85458,1.17291,0.0012476,0.0012476,0.0012476
21,1315.43,1.40908,0.8439,1.06423,0.95349,0.94118,0.9693,0.58529,1.40793,0.80954,1.11654,0.001208,0.001208,0.001208
22,1379.09,1.40338,0.8177,1.07901,0.95275,1,0.98953,0.54112,1.48749,0.76898,1.12735,0.0011684,0.0011684,0.0011684
23,1443.32,1.39451,0.82597,1.08859,0.96795,0.98529,0.98518,0.52159,1.52666,0.7937,1.14565,0.0011288,0.0011288,0.0011288
24,1506.98,1.4333,0.79759,1.06281,0.98309,1,0.99486,0.58894,1.44146,0.71047,1.10538,0.0010892,0.0010892,0.0010892
25,1571.18,1.33322,0.76539,1.03073,0.97131,0.99576,0.99234,0.60449,1.42671,0.72309,1.09273,0.0010496,0.0010496,0.0010496
26,1635.84,1.35474,0.78398,1.04195,0.95757,0.98529,0.99111,0.59777,1.3688,0.73135,1.07439,0.00101,0.00101,0.00101
27,1700.26,1.27325,0.73988,1.03632,0.97308,1,0.99428,0.6031,1.36998,0.73015,1.08196,0.0009704,0.0009704,0.0009704
28,1764.89,1.33386,0.74981,1.05046,0.97403,0.97059,0.99191,0.61492,1.38318,0.7373,1.0788,0.0009308,0.0009308,0.0009308
29,1828.92,1.2951,0.73075,1.03084,0.97083,0.97897,0.99088,0.58914,1.42875,0.70326,1.11765,0.0008912,0.0008912,0.0008912
30,1893.12,1.34802,0.74072,1.03706,0.98504,0.96855,0.99208,0.5869,1.38134,0.71076,1.10547,0.0008516,0.0008516,0.0008516
31,1957.48,1.29519,0.7129,1.02106,0.97061,0.9713,0.98959,0.59977,1.35614,0.6923,1.08844,0.000812,0.000812,0.000812
32,2021.91,1.36558,0.72915,1.05517,0.98125,0.98529,0.99355,0.59276,1.46786,0.71495,1.11568,0.0007724,0.0007724,0.0007724
33,2086,1.29805,0.72652,1.02578,0.9512,0.98529,0.96969,0.60321,1.32616,0.64522,1.06812,0.0007328,0.0007328,0.0007328
34,2149.63,1.29423,0.68442,1.01955,0.94101,0.98529,0.96355,0.61317,1.3052,0.64974,1.05857,0.0006932,0.0006932,0.0006932
35,2213.86,1.25766,0.67324,1.01167,0.93356,0.97059,0.96801,0.58339,1.31628,0.6557,1.07795,0.0006536,0.0006536,0.0006536
36,2277.99,1.18906,0.65591,0.98304,0.98361,1,0.99428,0.59719,1.31932,0.63427,1.07279,0.000614,0.000614,0.000614
37,2342.18,1.3005,0.67882,1.00626,0.98547,0.99764,0.99442,0.57731,1.41443,0.63378,1.10545,0.0005744,0.0005744,0.0005744
38,2406.42,1.23899,0.66695,1.01485,0.97137,0.99775,0.99224,0.6149,1.35437,0.652,1.08293,0.0005348,0.0005348,0.0005348
